incident_type,details,county,month,year
Poisoning,Species involved: Buzzard x 1; poison bait (red-legged partridge) x 1. Tested positive for: Alphachloralose.,DERBYSHIRE,April,2019
Shooting,Species involved: Peregrine falcon x 1.,CHESHIRE,April,2019
Shooting,Species involved: Sparrowhawk x 1.,STIRLING,April,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2019
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,April,2018
Shooting,Species involved: Buzzard x 1.,NORFOLK,March,2018
PersecutionOther,Species targeted: Birds of prey. Possession of: Carbofuran.,DOWN,February,2018
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,July,2018
Shooting,Species involved: Hen harrier x 1.,NORTH YORKSHIRE,November,2018
Illegal Pole/Spring Trapping,Species involved: Hobby x 1.,ISLE OF WIGHT,September,2018
Shooting,Species involved: Red kite x 1.,OXFORDSHIRE,Unknown,2018
Shooting,Species involved: Red kite x 1.,NORTHAMPTONSHIRE,July,2018
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,ISLE OF WIGHT,March,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Bendiocarb.,SUFFOLK,March,2018
Illegal Pole/Spring Trapping,Species involved: Barn owl x 1.,NORTH YORKSHIRE,February,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,January,2018
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,WILTSHIRE,September,2018
Poisoning,Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Carbofuran.,TYRONE,July,2018
Illegal Pole/Spring Trapping,Species involved: Hen harrier x 1.,PERTH AND KINROSS,November,2018
Illegal Trapping (Other),Species involved: Buzzard x 1.,HIGHLAND,October,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Withheld.,EAST AYRSHIRE,November,2018
Shooting,Species involved: Goshawk x 1.,SOUTH YORKSHIRE,May,2018
Poisoning,Species targeted: Birds of prey. Species involved: Hooded crow x 3. Tested positive for: Carbofuran.,DOWN,February,2018
Shooting,Species involved: Red kite x 1.,BUCKINGHAMSHIRE,July,2018
Shooting,Species involved: Buzzard x 1.,NORTHAMPTONSHIRE,November,2018
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,OXFORDSHIRE,October,2018
Poisoning,Species targeted: Birds of prey. Species involved: Poison bait (rabbits) x1+. Tested positive for: Difenacoum.,NORTH YORKSHIRE,October,2018
Shooting,Species involved: Barn owl x 1.,HAMPSHIRE,March,2018
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,OXFORDSHIRE,October,2018
PersecutionOther,Species targeted: Hen harrier.,NORTH YORKSHIRE,November,2018
Shooting,Species involved: Peregrine falcon x 1.,CUMBRIA,January,2018
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,August,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HEREFORDSHIRE,December,2018
Shooting,Species involved: Buzzard x 1.,CLEVELAND,May,2018
Shooting,Species involved: Long-eared owl x 1.,COUNTY DURHAM,July,2018
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,February,2018
Shooting,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,February,2018
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,May,2018
Shooting,Species involved: Buzzard x 1.,DORSET,May,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,EAST RIDING OF YORKSHIRE,August,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,NORTHAMPTONSHIRE,September,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,BRIDGEND,April,2018
Illegal Trapping (Other),Species involved: Buzzard x 2.,GLOUCESTERSHIRE,October,2018
Shooting,Species involved: Buzzard x 1,DERBYSHIRE,January,2018
Shooting,Species involved: Buzzard x 1.,CORNWALL,May,2018
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,WILTSHIRE,October,2018
Shooting,Species involved: Peregrine falcon x 1.,HEREFORDSHIRE,June,2018
Shooting,Species involved: Tawny owl x 1.,WEST YORKSHIRE,October,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Aldicarb.,HEREFORDSHIRE,December,2018
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,NORTH YORKSHIRE,September,2018
Shooting,Species involved: Peregrine falcon x 1.,WARWICKSHIRE,March,2018
Shooting,Species involved: Marsh harrier x 1.,LINCOLNSHIRE,September,2018
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Withheld.,MIDLOTHIAN,May,2018
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,October,2018
Poisoning,Species involved: Red kite x 2. Tested positive for: Aldicarb.,HEREFORDSHIRE,November,2018
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,October,2018
Shooting,Species involved: Buzzard x 1.,CAMBRIDGESHIRE,January,2018
Shooting,Species involved: Short-eared owl x 1.,WEST YORKSHIRE,September,2018
Shooting,Species targeted: Short-eared owl.,COUNTY DURHAM,August,2018
Shooting,Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,February,2018
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,OXFORDSHIRE,October,2018
Illegal Pole/Spring Trapping,Species involved: Merlin x 1.,NORTHUMBERLAND,July,2018
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,WILTSHIRE,September,2018
Shooting,Species involved: Barn owl x 1.,KENT,April,2018
Illegal Pole/Spring Trapping,Species involved: Red kite x 1.,CEREDIGION,May,2018
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,WREXHAM,August,2018
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Aldicarb.,SOUTH YORKSHIRE,March,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,HEREFORDSHIRE,April,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Bendiocarb.,LINCOLNSHIRE,February,2018
Shooting,Species involved: Red kite x 1.,KENT,May,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,December,2018
Shooting,Species involved: Buzzard x 1.,DEVON,April,2018
Poisoning,Species involved: Buzzard x 2; poison bait (pheasant) x 1. Tested positive for: Bendiocarb.,WORCESTERSHIRE,October,2018
Shooting,Species involved: Sparrowhawk x 1.,GLOUCESTERSHIRE,April,2018
Shooting,Species involved: Goshawk x 1.,ABERDEENSHIRE,March,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,ARMAGH,October,2018
PersecutionOther,Species involved: Hen harrier x 2.,WEST YORKSHIRE,April,2018
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,STAFFORDSHIRE,June,2018
Illegal Trapping (Other),Species involved: Tawny owl x 1.,WEST YORKSHIRE,September,2018
Shooting,Species involved: Buzzard x 1.,POWYS,February,2018
Shooting,Species involved: Red kite x 1.,HERTFORDSHIRE,October,2018
Poisoning,"Species involved: Buzzard x 2; Peregrine falcon x 1. Tested positive for: Carbofuran, carbaryl.",VALE OF GLAMORGAN,March,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,March,2018
Shooting,Species involved: Red kite x 1.,COUNTY DURHAM,April,2018
Poisoning,Species involved: Red kite x 2. Tested positive for: Carbofuran.,DOWN,April,2018
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x 5, crow x 1; poison bait (lamb x 1). Tested positive for: Diazinon.",SHROPSHIRE,April,2018
Shooting,Species involved: Buzzard x 1.,SOUTH LANARKSHIRE,Unknown,2018
Poisoning,"Species involved: Red kite x 1. Tested positive for: Alphachloralose, bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,October,2018
Poisoning,Species involved: Red kite x 1. Tested positive for: Withheld.,DUMFRIES AND GALLOWAY,April,2018
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,WILTSHIRE,October,2018
Shooting,Species involved: Red kite x 1.,GREATER MANCHESTER,June,2018
Shooting,Species involved: Goshawk x 1.,DERBYSHIRE,November,2018
Illegal Pole/Spring Trapping,Species involved: Sparrowhawk x 1.,SOMERSET & AVON,November,2018
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,January,2018
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,September,2018
Poisoning,Specied involved: Buzzard x 2; dog x 3. Tested positive for: Withheld.,PERTH AND KINROSS,April,2018
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,November,2018
Poisoning,Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Bendiocarb.,CONWY,October,2017
Shooting,Species involved: Goshawk x 1.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Red kite x 1.,BEDFORDSHIRE,November,2017
Nest Destruction,Species involved: Hen harrier nest.,TYRONE,May,2017
Nest Destruction,Species involved: Marsh harrier nest.,NORTH YORKSHIRE,May,2017
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,September,2017
PersecutionOther,Species targeted: Birds of prey.,EAST LOTHIAN,March,2017
Shooting,Species involved: Buzzard x 1.,ESSEX,November,2017
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Peregrine falcon x 1.,SUFFOLK,July,2017
Shooting,Species involved: Sparrowhawk x 1.,SOMERSET & AVON,September,2017
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,ANTRIM,July,2017
Shooting,Species involved: Sparrowhawk x 1.,EAST RIDING OF YORKSHIRE,October,2017
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,LINCOLNSHIRE,May,2017
Shooting,Species involved: Buzzard x 1.,WORCESTERSHIRE,October,2017
Shooting,Species involved: Red kite x 1.,BEDFORDSHIRE,January,2017
Shooting,Species involved: Peregrine x 1.,SCOTTISH BORDERS,May,2017
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,March,2017
Nest Destruction,Species involved: Goshawk nest.,HIGHLAND,April,2017
Shooting,Species involved: Buzzard x 1.,SOUTH YORKSHIRE,August,2017
Shooting,Species targeted: Marsh harrier.,NORTH YORKSHIRE,May,2017
Poisoning,"Species involved: Red kite x 1. Tested positive for: Carbofuran, bendiocarb.",NORFOLK,October,2017
Shooting,Species involved: Buzzard x 1.,DEVON,January,2017
Shooting,Species involved: Buzzard x 1.,TYRONE,January,2017
Shooting,Species involved: Buzzard x 1.,CUMBRIA,May,2017
Shooting,Species involved: Red kite x 1.,EAST RIDING OF YORKSHIRE,March,2017
Shooting,Species involved: Little owl x 1.,KENT,June,2017
Poisoning,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,NORTH YORKSHIRE,December,2017
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Peregrine falcon x 1.,CAMBRIDGESHIRE,September,2017
Shooting,Species involved: Peregrine falcon x 1.,DEVON,March,2017
PersecutionOther,Species targeted: Birds of prey.,SCOTTISH BORDERS,June,2017
Shooting,Species involved: Red kite x 1.,HERTFORDSHIRE,March,2017
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Buzzard x 1.,WORCESTERSHIRE,October,2017
Illegal Trapping (Other),Species targeted: Birds of prey.,WARWICKSHIRE,July,2017
Shooting,Species involved: Red kite x 1.,BEDFORDSHIRE,February,2017
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,April,2017
Shooting,Species involved: Goshawk x 1.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Short-eared owl x 1.,CUMBRIA,April,2017
Shooting,Species involved: Buzzard x 1.,SUFFOLK,January,2017
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,March,2017
Illegal Pole/Spring Trapping,Species involved: Tawny owl x 1.,BEDFORDSHIRE,August,2017
Shooting,Species involved: Buzzard x 1.,LONDONDERRY,September,2017
Nest Destruction,Species involved: Osprey nest.,DERBYSHIRE,April,2017
Shooting,Species involved: Kestrel x 1.,NORTH YORKSHIRE,December,2017
Shooting,Species involved: Peregrine falcon x 1.,LANCASHIRE,February,2017
Shooting,Species involved: Buzzard x 1.,LEICESTERSHIRE,August,2017
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,January,2017
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2017
Shooting,"Species involved: Buzzard x 1, Raven x 1.",POWYS,April,2017
Shooting,Species involved: Short-eared owl x 1.,SOUTH LANARKSHIRE,May,2017
PersecutionOther,Species involved: Goshawk.,NORTH YORKSHIRE,May,2017
Poisoning,"Species involved: Peregrine falcon x 2; poison bait (pigeon x 1). Tested positive for: Bendiocarb, diazinon.",SHROPSHIRE,May,2017
Shooting,Species involved: Peregrine falcon x 1.,ANTRIM,August,2017
Shooting,Species involved: Red kite x 1.,DOWN,August,2017
Nest Destruction,Species involved: Merlin nest.,MIDLOTHIAN,June,2017
Shooting,Species involved: Sparrowhawk x 1.,NORTH YORKSHIRE,April,2017
Shooting,Species involved: Peregrine falcon x 1.,EAST SUSSEX,May,2017
Shooting,Species involved: Buzzard x 1.,SUFFOLK,April,2017
Poisoning,Species involved: Buzzard x 2. Tested positive for: Aldicarb.,EAST RIDING OF YORKSHIRE,November,2017
Shooting,Species involved: Buzzard x 1.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Hen harrier x 1.,SOUTH LANARKSHIRE,May,2017
PersecutionOther,Species involved: Goshawk.,NORTH YORKSHIRE,May,2017
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,September,2017
Shooting,Species involved: Marsh harrier x 1.,LANCASHIRE,December,2017
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,January,2017
Shooting,Species involved: Short-eared owl x 1.,CUMBRIA,April,2017
Shooting,Species involved: Buzzard x 1.,BEDFORDSHIRE,August,2017
Shooting,Species involved: Buzzard x 1.,LONDONDERRY,September,2017
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2017
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,March,2017
Shooting,Species involved: Buzzard x 1.,HERTFORDSHIRE,February,2017
Shooting,Species involved: Peregrine falcon x 1.,HAMPSHIRE,March,2017
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,LINCOLNSHIRE,February,2017
Illegal Trapping (Other),Species targeted: Birds of prey.,WARWICKSHIRE,July,2017
PersecutionOther,"Species targeted: Birds of prey. Possession of: Carbofuran, carbosulfan.",SCOTTISH BORDERS,June,2017
Shooting,Species involved: Buzzard x 1.,WEST SUSSEX,March,2017
Shooting,Species involved: Peregrine falcon x 1.,CUMBRIA,March,2017
Illegal Trapping (Other),Species targeted: Goshawk.,SCOTTISH BORDERS,May,2017
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2017
Shooting,Species targeted: Marsh harrier.,NORTH YORKSHIRE,May,2017
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,May,2017
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,HIGHLAND,June,2017
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,April,2017
Shooting,Species involved: Sparrowhawk x 1.,LONDONDERRY,September,2017
Shooting,Species involved: Red kite x 1.,CARMARTHENSHIRE,November,2017
Shooting,Species involved: Buzzard x 1.,VALE OF GLAMORGAN,December,2016
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,NORTH YORKSHIRE,February,2016
Shooting,Species involved: Red kite x 1.,SHROPSHIRE,October,2016
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,October,2016
Shooting,Species involved: Peregrine falcon x 1.,ANTRIM,September,2016
Shooting,Species involved: Marsh harrier x 1.,EAST RIDING OF YORKSHIRE,September,2016
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,June,2016
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Carbofuran.,DUMFRIES AND GALLOWAY,September,2016
Shooting,Species involved: Peregrine falcon x 1.,DERBYSHIRE,September,2016
Illegal Pole/Spring Trapping,Species involved: Peregrine falcon x 1.,LANCASHIRE,April,2016
Nest Destruction,Species involved: Buzzard nest.,NORTH YORKSHIRE,June,2016
Shooting,Species involved: Peregrine falcon x 1.,DEVON,August,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ABERDEENSHIRE,July,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,DENBIGHSHIRE,September,2016
Shooting,Species involved: Hen harrier x 1.,CUMBRIA,October,2016
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,February,2016
Poisoning,Species involved: Buzzard x 1; Raven x 1; Hooded crow x 4; unknown bait x 4. Tested positive for: Withheld.,WESTERN ISLES,September,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,ANTRIM,March,2016
Illegal Trapping (Other),Species targeted: Birds of prey.,GLOUCESTERSHIRE,August,2016
Shooting,Species involved: Red kite x 1.,OXFORDSHIRE,March,2016
Shooting,Species involved: Goshawk x 1.,GLOUCESTERSHIRE,April,2016
Illegal Pole/Spring Trapping,Species involved: Falcon species x 1.,NORTH YORKSHIRE,Unknown,2016
PersecutionOther,Species involved: Golden eagle x 1.,PERTH AND KINROSS,May,2016
Illegal Pole/Spring Trapping,Species involved: Kestrel x 1.,NORTH YORKSHIRE,Unknown,2016
Shooting,Species involved: Buzzard x 1.,ANGUS,May,2016
Shooting,Species involved: Red kite x 1.,COUNTY DURHAM,March,2016
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,November,2016
Poisoning,"Species targeted: Peregrine falcon. Species involved: poison bait (pigeon) x 1. Tested positive for: Alphachloralose, bendiocarb.",BLAENAU GWENT,June,2016
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,August,2016
Poisoning,Species involved: Red kite x 1; carrion crow x 1; poison bait (squirrel) x 1. Tested positive for: Carbofuran.,HERTFORDSHIRE,August,2016
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,March,2016
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2016
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,April,2016
Shooting,Species involved: Buzzard x 1.,SOMERSET & AVON,December,2016
Shooting,Species involved: Red kite x 1.,SOUTH YORKSHIRE,June,2016
Shooting,Species involved: Sparrowhawk x 1.,PEMBROKESHIRE,August,2016
Shooting,Species involved: Goshawk x 1.,ABERDEENSHIRE,April,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2016
PersecutionOther,Species targeted: Peregrine falcon.,NORTHUMBERLAND,April,2016
Shooting,Species involved: Peregrine falcon x 1.,POWYS,August,2016
Poisoning,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Strychnine.,NORTH YORKSHIRE,January,2016
Poisoning,"Species involved: Red kite x 1. Tested positive for: Alphachloralose, aldicarb.",NORTH YORKSHIRE,March,2016
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,July,2016
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Withheld.,PERTH AND KINROSS,November,2016
Illegal Pole/Spring Trapping,Species involved: Buzzard x 1.,PERTH AND KINROSS,May,2016
Illegal Trapping (Other),Species targeted: Birds of prey.,KENT,August,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ANTRIM,May,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Phorate.,LINCOLNSHIRE,April,2016
Poisoning,"Species involved: Red kite x 1. Tested positive for: Alphachloralose, aldicarb, bendiocarb, carbofuran, isofenphos.",NORTH YORKSHIRE,May,2016
Shooting,Species involved: Red kite x 1.,NORTH YORKSHIRE,May,2016
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Diazinon.,"RHONDDA, CYNON, TAFF",April,2016
Shooting,Species involved: Buzzard x 1.,ABERDEENSHIRE,September,2016
Shooting,Species involved: Buzzard x 1.,HIGHLAND,November,2016
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Aldicarb, bendiocarb.",POWYS,April,2016
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,May,2016
Shooting,Species involved: Red kite x 1.,WEST YORKSHIRE,April,2016
Shooting,Species involved: Buzzard x 1.,POWYS,December,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,ANTRIM,March,2016
Shooting,Species involved: Kestrel x 1.,LANCASHIRE,September,2016
Shooting,Species involved: Peregrine falcon x 1.,POWYS,August,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Strychnine.,SOUTH AYRSHIRE,April,2016
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,November,2016
Poisoning,Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Alphachloralose.,DERBYSHIRE,February,2016
Illegal Trapping (Other),Species targeted: Birds of prey.,SCOTTISH BORDERS,May,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,DEVON,August,2016
Shooting,Species involved: Red kite x 1.,OXFORDSHIRE,April,2016
Poisoning,Species targeted: Birds of prey. Species involved: Raven x 3; poison bait (lamb) x 1. Tested positive for: Diazinon.,NEATH PORT TALBOT,August,2016
Shooting,Species involved: Peregrine falcon x 1.,NORTH YORKSHIRE,October,2016
PersecutionOther,Species targeted: Hen harrier.,DERBYSHIRE,February,2016
Illegal Pole/Spring Trapping,Species involved: Kestrel x 1.,NORTH YORKSHIRE,August,2016
Shooting,Species involved: Buzzard x 1.,HEREFORDSHIRE,July,2016
Shooting,Species involved: Buzzard x 1.,EAST RIDING OF YORKSHIRE,April,2016
Poisoning,"Species involved: Buzzard x 3; poison bait (pheasant) x 1. Tested positive for: Alphachloralose, metaldehyde.",DERBYSHIRE,March,2016
Poisoning,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,DERBYSHIRE,February,2016
Shooting,Species involved: Peregrine falcon x 1.,LANCASHIRE,April,2016
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Aldicarb.,ANTRIM,April,2016
Shooting,Species involved: Hen harrier x 1.,NORTHUMBERLAND,December,2016
Poisoning,"Species targeted: Birds of prey. Species involved: Raven x 1; poison bait (pheasant) x 1. Tested positive for: Aldicarb, bendiocarb.",POWYS,March,2016
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Bendiocarb, Metaldehyde.",STAFFORDSHIRE,September,2016
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,June,2016
Shooting,Species involved: Sparrowhawk x 1.,WEST YORKSHIRE,April,2016
Poisoning,Species involved: Red kite x 1. Tested positive for: Fenthion.,CEREDIGION,February,2016
Shooting,Species involved: Sparrowhawk x 1.,DOWN,April,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2016
Poisoning,Species targeted: Birds of prey. Species involved: Fox x 1; poison bait (pheasant) x 1. Tested positive for: Metaldehyde.,ISLE OF ANGLESEY,February,2016
Shooting,Species involved: Buzzard x 1.,SUFFOLK,September,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,NORTH YORKSHIRE,May,2016
Shooting,Species involved: Buzzard x 1.,NORTH YORKSHIRE,November,2016
PersecutionOther,Species targeted: Birds of prey.,STAFFORDSHIRE,February,2016
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,SOUTH LANARKSHIRE,September,2015
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,December,2015
PersecutionOther,Species targeted: Birds of prey.,NORTH YORKSHIRE,April,2015
Shooting,Species involved: Peregrine falcon x 1.,KENT,August,2015
Illegal Trapping (Other),Species targeted: Birds of prey.,EAST LOTHIAN,March,2015
Shooting,Species involved: Peregrine falcon x 1.,ARMAGH,August,2015
Shooting,Species involved: Peregrine falcon x 1.,STAFFORDSHIRE,May,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,TYRONE,April,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,September,2015
PersecutionOther,"Species targeted: Birds of prey. Possession of: Alphachloralose, bendiocarb",NORTH YORKSHIRE,April,2015
Shooting,Species involved: Barn owl x 1.,KENT,March,2015
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,CUMBRIA,February,2015
Illegal Pole/Spring Trapping,Species targeted: Birds of prey.,ANGUS,July,2015
Poisoning,"Species involved: Buzzard x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos, aldicarb.",NORTH YORKSHIRE,February,2015
Shooting,Species involved: Peregrine falcon x 1.,COUNTY DURHAM,June,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,PERTH AND KINROSS,June,2015
Shooting,Species involved: Buzzard x 1.,SOUTH YORKSHIRE,May,2015
Illegal Pole/Spring Trapping,Species involved: Osprey x 1.,DERBYSHIRE,September,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,October,2015
Shooting,Species involved: Buzzard x 1.,ESSEX,March,2015
PersecutionOther,Species involved: Sparrowhawk x 1.,FIFE,February,2015
Poisoning,Species targeted: Birds of prey. Species involved: Magpie x 1. Tested positive for: Alphachloralose.,ARMAGH,June,2015
Illegal Trapping (Other),Species targeted: Birds of prey.,CUMBRIA,February,2015
Shooting,Species involved: Buzzard x 1,HAMPSHIRE,January,2015
Poisoning,"Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Carbofuran, methiocarb.",CUMBRIA,February,2015
Poisoning,Species involved: Red kite x 1. Tested positive for: Carbofuran.,NORTH YORKSHIRE,April,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,LONDONDERRY,November,2015
Poisoning,"Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Carbofuran, isofenphos, methomyl, carbaryl.",DENBIGHSHIRE,September,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,NORFOLK,April,2015
Shooting,Species involved: Peregrine falcon x 1.,COUNTY DURHAM,August,2015
Shooting,Species Involved: Buzzard x 1.,HAMPSHIRE,March,2015
Shooting,Species involved: Peregrine falcon x 1.,DOWN,May,2015
Shooting,Species involved: Peregrine falcon x 1.,DOWN,May,2015
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,STIRLING,January,2015
Shooting,Species involved: Short-eared owl x 1.,COUNTY DURHAM,February,2015
Shooting,Species Involved: Buzzard x 1.,WARWICKSHIRE,February,2015
Shooting,Species involved: Sparrowhawk x 1.,NORTH LANARKSHIRE,April,2015
Shooting,Species involved: Peregrine falcon x 1.,DERBYSHIRE,January,2015
Poisoning,Species involved: Peregrine falcon x 1. Tested positive for: Diazinon.,SHROPSHIRE,June,2015
Poisoning,"Species involved: Buzzard x 1; poison bait (pigeon) x 1. Tested positive for: Carbofuran, methiocarb.",CUMBRIA,February,2015
Shooting,Species involved: Long-eared owl x 1.,EAST RIDING OF YORKSHIRE,March,2015
Poisoning,"Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Carbofuran, bendiocarb.",SHROPSHIRE,July,2015
Poisoning,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,SCOTTISH BORDERS,September,2015
